video,GAME_ID,GAME_EVENT_ID,PERIOD,ACTION_TYPE,SHOT_TYPE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON,GAME_TYPE,MINUTES_RE
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/406/acdba903-0782-d222-916d-8290636908b3,22100101,406,3,Turnaround Hook Shot,2,8,-0.00019204975003048408,-0.00014815266430923056,1,01.11.2021,MIN,ORL,2021-22,R,09:13
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/442/842bf0b6-c8bc-e283-bb3d-04a66c608fef,22100101,442,3,Jump Shot,3,24,-0.0005542007072308255,-0.00040330447506401655,0,01.11.2021,MIN,ORL,2021-22,R,06:40
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/446/23e23298-3344-6723-a319-9170f218787d,22100101,446,3,Driving Layup Shot,2,2,3.566638214851847e-05,-4.3897085721253504e-05,1,01.11.2021,MIN,ORL,2021-22,R,05:57
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/593/b8f872cd-dca4-39af-c8f2-524ccb8ea586,22100101,593,4,Driving Layup Shot,2,1,1.0974271430313376e-05,-3.566638214851847e-05,1,01.11.2021,MIN,ORL,2021-22,R,05:40
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/604/16366c9d-3e86-2ac6-16ba-670c02a0942e,22100101,604,4,Driving Layup Shot,2,6,3.566638214851847e-05,-0.0001701012071698573,0,01.11.2021,MIN,ORL,2021-22,R,05:02
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/606/b6ab7d55-b13d-87ed-ed6f-2de414dca13d,22100101,606,4,Jump Shot,3,23,-0.0006365077429581758,-7.956346786977197e-05,1,01.11.2021,MIN,ORL,2021-22,R,04:57
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/617/0f1e7949-86fd-3ffe-c06a-10f03b1c6ede,22100101,617,4,Jump Shot,3,24,0.000598097792952079,-0.00032922814290940126,1,01.11.2021,MIN,ORL,2021-22,R,04:07
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/622/06ac4ed6-115d-366c-eb98-09acb1d4f26e,22100101,622,4,Driving Dunk Shot,2,1,-5.487135715156688e-06,-3.017924643336178e-05,1,01.11.2021,MIN,ORL,2021-22,R,03:38
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/626/ab68d8c9-6810-175e-f3ec-d5477257cbea,22100101,626,4,Driving Layup Shot,2,2,4.6640653578831844e-05,-4.938422143641019e-05,0,01.11.2021,MIN,ORL,2021-22,R,03:10
https://videos.nba.com/nba/pbp/media/2021/11/01/0022100101/638/8435dacd-3ffc-c3b4-8ea3-9e9640cb6579,22100101,638,4,Jump Shot,3,24,0.0005212778929398853,-0.000438970857212535,0,01.11.2021,MIN,ORL,2021-22,R,02:31
https://videos.nba.com/nba/pbp/media/2021/11/03/0022100110/13/dd9f970b-912e-0218-4a1f-0f445755ec5e,22100110,13,1,Running Layup Shot,2,2,1.3717839287891719e-05,-5.4871357151566876e-05,1,03.11.2021,ORL,BOS,2021-22,R,10:41
https://videos.nba.com/nba/pbp/media/2021/11/03/0022100110/26/fffe2c49-86b0-7f85-dc37-f092f1c8b102,22100110,26,1,Running Layup Shot,2,4,-6.035849286672356e-05,-0.00011797341787586879,1,03.11.2021,ORL,BOS,2021-22,R,09:11
https://videos.nba.com/nba/pbp/media/2021/11/03/0022100110/75/a037ae24-517b-2428-1262-d87d7c3e34f7,22100110,75,1,Jump Shot,3,25,0.00037312522863065475,-0.000606328496524814,0,03.11.2021,ORL,BOS,2021-22,R,05:28
